,0
canoe,73
pancake,73
boating,72
hairdresser,72
childbirth,72
tumbling,72
trains,70
feminism,70
nudity,70
batteries,70
suffocation,69
apocalypse,69
chimney,68
syringe,67
bleach,67
drowning,67
ipod,66
anarchist,65
enjoyment,64
paranoia,64
margarine,62
ninja,62
pollen,62
slingshot,62
boiling,59
grinder,59
ecstasy,58
railing,57
puddle,57
shaving,56
sleet,54
dynamite,54
propeller,54
arsenic,53
plumber,53
hallucination,52
termite,52
alcoholism,52
anime,52
drunken,51
seaweed,51
dishwasher,50
rowing,50
peroxide,50
pumpkin,50
imperialism,49
gladiator,48
ammo,48
laxative,46
insanity,44
bathing,44
chopper,44
pimp,43
toaster,43
intoxication,43
hippie,43
anarchy,42
comet,41
vertigo,41
softball,40
seagull,39
measles,39
embroidery,38
thermometer,38
dagger,37
sweating,37
flashlight,36
janitor,35
pedophile,35
trees,35
scorpion,35
strangulation,35
judo,35
dragonfly,35
clouds,34
meteorite,34
scissors,33
stalker,33
summertime,33
tarp,33
asparagus,32
lying,32
burglar,32
sunburn,31
mobster,31
snooker,31
bazooka,31
cyst,30
antibiotics,30
gutter,30
hernia,30
sedative,30
snowman,29
hummingbird,29
plants,29
tylenol,28
grades,28
archery,27
radiator,27
typing,27
boredom,27
chilli,27
chainsaw,26
spikes,25
shots,24
poop,24
tracksuit,24
trampoline,24
moth,23
jogging,23
venom,23
consumerism,22
firetruck,22
procrastination,21
crying,21
fireworks,21
zeppelin,20
phobia,20
choking,20
eel,20
canteen,20
gloves,20
speeding,20
flask,19
leech,19
piranha,19
skis,18
spies,18
tripod,17
vegetables,17
planes,17
anorexia,16
dying,16
watermelon,16
meth,16
jealousy,16
swordfish,15
pilates,15
knitting,15
dandelion,15
campfire,14
woodworking,14
tripping,13
frisbee,13
raincoat,12
tricycle,12
jellyfish,12
gunpowder,11
grasshopper,11
pinball,11
waves,11
vitamins,11
cigarettes,11
origami,11
lightening,10
swings,10
traveling,10
laughing,10
valium,10
puke,9
stealing,9
cops,9
studying,9
aerobics,8
windscreen,8
cigars,8
shingles,8
rabies,8
jackhammer,7
stethoscope,7
steroids,7
meatloaf,6
wires,6
sociopath,6
popsicle,6
lawnmower,6
cannibal,6
racquetball,5
bees,5
horses,5
trapeze,5
fumes,5
lightheaded,4
crowds,4
hallucinate,4
feelings,4
hallucinogen,3
emotions,3
highschool,3
pills,3
unicycle,3
burned,3
fungi,2
mumps,2
hairdryer,2
sunglasses,2
hovercraft,2
slippers,2
hangman,2
ironing,1
billiards,1
night vision,0
fighter jet,0
motor vehicle,0
assault rifle,0
aircraft carrier,0
electric motor,0
genetic modification,0
hip replacement,0
antiseptic cream,0
crack cocaine,0
corn syrup,0
wind power,0
nuclear power,0
natural gas,0
artificial intelligence,0
electric power,0
crude oil,0
american football,0
coal power,0
virtual reality,0
electric car,0
quantum computing,0
solar power,0
hair dryer,0
combustion engine,0
kite flying,0
police officer,0
germs,0
construction worker,0
toxins,0
table tennis,0
mushrooms,0
goggles,0
scuba diving,0
roller skating,0
rock climbing,0
clothes dryer,0
motor sports,0
martial arts,0
ice skating,0
air conditioning,0
ice hockey,0
icebox,0
lawn mower,0
microwave oven,0
figure skating,0
field hockey,0
sewing machine,0
college football,0
water heater,0
aerosol spray,0
bird watching,0
beach volleyball,0
stairs,0
nuclear bomb,0
